MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,67059430,Abrasives & Industrial,Abrasive Products,Sanding & Grinding Discs,5059430,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Inc,Freud Inc,,DCB518ASTS06G,,Abrasives & Industrial>Abrasive Products>Discs & Sheets,"Freud Inc, Sanding & Grinding Disc, DCB518ASTS06G",SANDING & GRINDING DISC,Freud Inc DCB518ASTS06G Sanding & Grinding Disc,Freud Inc Sanding & Grinding Disc,Sanding & Grinding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding & Grinding Disc,Model,DCB518ASTS06G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Freud_Inc_DCB518ASTS06G.jpg,,,,,,,,,Freud_Inc_DCB518ASTS06G_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,66638728,Tools & Hardware,Power Tools,Cutting & Drilling Tools,4638728,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075678,,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100075678",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100075678 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100075678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075678.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075678_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,88370312,Tools & Hardware,Power Tools,Cutting & Drilling Tools,8370312,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100045865,,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100045865",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100045865 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100045865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100045865.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100045865_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,37745421,Tools & Hardware,Power Tools,Cutting & Drilling Tools,2745421,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100048736,,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100048736",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100048736 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100048736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100048736.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100048736_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,28939314,Tools & Hardware,Power Tools,Cutting & Drilling Tools,2939314,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075690,3MABR-7100075692,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100075690",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100075690 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100075690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075690.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075690_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,22977266,Tools & Hardware,Power Tools,Cutting & Drilling Tools,5977266,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100075692,3MABR-7100075690,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100075692",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100075692 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100075692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075692.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100075692_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,23430062,Tools & Hardware,Power Tools,Cutting & Drilling Tools,6430062,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Jam Industrial Supply LLC,Jam Industrial Supply LLC,,3MABR-7100145365,,Tools & Hardware>Power Tools>Cutting & Drilling Tools,"Jam Industrial Supply LLC, Cutting & Drilling Tool, 3MABR-7100145365",CUTTING & DRILLING TOOL,Jam Industrial Supply LLC 3MABR-7100145365 Cutting & Drilling Tool,Jam Industrial Supply LLC Cutting & Drilling Tool,Cutting & Drilling Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting & Drilling Tool,Model,3MABR-7100145365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100145365.jpg,,,,,,,,,Jam_Industrial_Supply_LLC_3MABR-7100145365_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,72947907,Abrasives & Industrial,Abrasive Products,Sanding & Grinding Discs,1947907,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,5B-332-080,,Abrasives & Industrial>Abrasive Products>Discs & Sheets,"Mirka Abrasives Inc, Sanding & Grinding Disc, 5B-332-080",SANDING & GRINDING DISC,Mirka Abrasives Inc 5B-332-080 Sanding & Grinding Disc,Mirka Abrasives Inc Sanding & Grinding Disc,Sanding & Grinding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding & Grinding Disc,Model,5B-332-080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_Abrasives_Inc_5B-332-080.jpg,,,,,,,,,Mirka_Abrasives_Inc_5B-332-080_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,87613403,Abrasives & Industrial,Abrasive Products,Sanding & Grinding Discs,7613403,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,5B-332-120,,Abrasives & Industrial>Abrasive Products>Discs & Sheets,"Mirka Abrasives Inc, Sanding & Grinding Disc, 5B-332-120",SANDING & GRINDING DISC,Mirka Abrasives Inc 5B-332-120 Sanding & Grinding Disc,Mirka Abrasives Inc Sanding & Grinding Disc,Sanding & Grinding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding & Grinding Disc,Model,5B-332-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_Abrasives_Inc_5B-332-120.jpg,,,,,,,,,Mirka_Abrasives_Inc_5B-332-120_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
,,,,,,19848922,Abrasives & Industrial,Abrasive Products,Sanding & Grinding Discs,2848922,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,Mirka Abrasives Inc,,9A-570-240,9A-570-320,Abrasives & Industrial>Abrasive Products>Discs & Sheets,"Mirka Abrasives Inc, Sanding & Grinding Disc, 9A-570-240",SANDING & GRINDING DISC 9A,Mirka Abrasives Inc 9A-570-240 Sanding & Grinding Disc,"Mirka Abrasives Inc Sanding & Grinding Disc, 9 A",Sanding & Grinding Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,Sanding & Grinding Disc,Model,9A-570-240,,Amperage Rating,9,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirka_Abrasives_Inc_9A-570-240.jpg,,,,,,,,,Mirka_Abrasives_Inc_9A-570-240_Specification_Sheet.pdf,,,,,,,,,,,,,,,,,,No
