row_index,Mfg_Part_Num,MANUFACTURER_NAME,BRAND_NAME,confidence_score,needs_human_review,review_reason,groundedness_score
1,DCB518ASTS06G,Freud Inc,Freud Inc,1.0,False,Clean,1.0
2,3MABR-7100075678,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
3,3MABR-7100045865,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
4,3MABR-7100048736,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
5,3MABR-7100075690,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
6,3MABR-7100075692,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
7,3MABR-7100145365,Jam Industrial Supply LLC,Jam Industrial Supply LLC,1.0,False,Clean,1.0
8,5B-332-080,Mirka Abrasives Inc,Mirka Abrasives Inc,1.0,False,Clean,1.0
9,5B-332-120,Mirka Abrasives Inc,Mirka Abrasives Inc,1.0,False,Clean,1.0
10,9A-570-240,Mirka Abrasives Inc,Mirka Abrasives Inc,1.0,False,Clean,1.0
11,9A-570-320,Mirka Abrasives Inc,Mirka Abrasives Inc,1.0,False,Clean,1.0
12,DBD090094101F,Freud Inc,Freud Inc,1.0,False,Clean,1.0
13,DBDS12125A01F,Freud Inc,Freud Inc,1.0,False,Clean,1.0
14,DBDS12125G01F,Freud Inc,Freud Inc,1.0,False,Clean,1.0
15,DBDS14125A01F,Freud Inc,Freud Inc,1.0,False,Clean,1.0
16,DBDS14125G01F,Freud Inc,Freud Inc,1.0,False,Clean,1.0
17,49-94-0013,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
18,49-94-0029,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
19,49-94-0033,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
20,49-94-0001,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
21,49-94-0039,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
22,49-94-0043,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
23,49-94-0048,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
24,49-94-0053,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
25,49-94-0058,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
26,49-94-0063,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
27,49-94-0068,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
28,49-94-0073,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
29,49-94-0101,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
30,49-94-0107,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
31,49-94-0117,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
32,49-94-0123,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
33,49-94-0023,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
34,49-94-0121,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
35,49-94-0127,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
36,49-94-0137,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
37,49-94-0160,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
38,49-94-0223,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
39,49-94-0445,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
40,49-94-0803,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
41,49-94-0903,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
42,49-94-0907,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
43,49-94-0923,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
44,49-94-1900,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
45,49-94-1905,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
46,49-94-1915,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
47,49-94-1920,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
48,49-94-1925,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
49,49-94-1935,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
50,49-94-1940,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
51,49-94-0501,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
52,49-94-0503,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
53,49-94-0523,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
54,49-94-1955,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
55,49-94-1965,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
56,49-94-0513,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
57,49-94-0533,Milwaukee Accessory,Milwaukee Accessory,1.0,False,Clean,1.0
58,DFBLBLOMFN01G,Freud Inc,Freud Inc,1.0,False,Clean,1.0
59,1700-1PK-BB40,3 M Co,3M®,1.0,False,Clean,1.0
60,ASH-40-40-04,Emseal Joint Systems Ltd,Emseal Joint Systems Ltd,1.0,False,Clean,1.0
61,KDFM404KPS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
62,PDSH4816AF,Rheem Manufacturing,FRIGIDAIRE®,1.0,False,Clean,1.0
63,PDT715SYVFS,Rheem Manufacturing,FRIGIDAIRE®,1.0,False,Clean,1.0
64,LDPH5554D,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
65,WDTS7024RZ,Whirlpool Corporation,Whirlpool®,1.0,False,Clean,1.0
66,PDD415PYYFS,Rheem Manufacturing,FRIGIDAIRE®,1.0,False,Clean,1.0
67,KDTS424SBE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
68,KDTS324SPS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
69,KDPS624SJP,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
70,KDTS624SBE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
71,D519127,V & V Appliance Parts Inc,V & V Appliance Parts Inc,1.0,False,Clean,1.0
72,DF7004WE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
73,DR7004BE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
74,DV2000WE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
75,DC5004WE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
76,DC5004BE,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
77,WKE100HWA,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
78,FF7011WN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
79,PTD70GBPTDG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
80,PTD70GBSTWS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
81,DR5004WG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
82,DR7004BG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
83,DR7004WG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
84,DV2000WG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
85,DC5004WG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
86,DC5004BG,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
87,PTW705BSTWS,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
88,MVWP586GW,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
89,TV2000WN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
90,TC5003BN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
91,TR7006WN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
92,TR7006BN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
93,TR5006WN,Appliance Dealers Cooperative,Appliance Dealers Cooperative,1.0,False,Clean,1.0
94,05134545001,Wera Tools NA Inc,Wera Tools NA Inc,1.0,False,Clean,1.0
95,LNL65301,,,0.75,True,Missing Manufacturer/Brand,1.0
96,25-A,Rees Cast Stone Company,Rees Cast Stone Company,1.0,False,Clean,1.0
97,38-E,Rees Cast Stone Company,Rees Cast Stone Company,1.0,False,Clean,1.0
98,59-J,Rees Cast Stone Company,Rees Cast Stone Company,1.0,False,Clean,1.0
99,44-A,Rees Cast Stone Company,Rees Cast Stone Company,1.0,False,Clean,1.0
100,543302126,U S Lumber,TREX®,1.0,False,Clean,1.0
101,543302146,U S Lumber,TREX®,1.0,False,Clean,1.0
102,73019603,,,0.75,True,Missing Manufacturer/Brand,1.0
103,73019652,,,0.75,True,Missing Manufacturer/Brand,1.0
104,73019517,,,0.75,True,Missing Manufacturer/Brand,1.0
105,73019602,,,0.75,True,Missing Manufacturer/Brand,1.0
106,73019651,,,0.75,True,Missing Manufacturer/Brand,1.0
107,73019516,,,0.75,True,Missing Manufacturer/Brand,1.0
108,543300256,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
109,543300276,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
110,73045028,,,0.75,True,Missing Manufacturer/Brand,1.0
111,73045031,,,0.75,True,Missing Manufacturer/Brand,1.0
112,543340126,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
113,543340127,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
114,543340146,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
115,543340147,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
116,ADB15516CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
117,ADB15520CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
118,ADB15516EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
119,ADB15520EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
120,ADB15516MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
121,ADB15520MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
122,ADB15516WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
123,ADB15520WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
124,AGB15512CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
125,AGB15516CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
126,AGB15520CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
127,AGB15512EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
128,AGB15516EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
129,AGB15520EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
130,AGB15512MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
131,AGB15516MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
132,AGB15520MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
133,AGB15512WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
134,AGB15516WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
135,AGB15520WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
136,ADB15516AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
137,ADB15520AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
138,ADB15516CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
139,ADB15520CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
140,ADB15516FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
141,ADB15520FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
142,AGB15512AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
143,AGB15516AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
144,AGB15520AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
145,AGB15512CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
146,AGB15516CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
147,AGB15520CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
148,AGB15512FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
149,AGB15516FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
150,AGB15520FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
151,ADCB15516BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
152,ADCB15520BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
153,ADCB15516SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
154,ADCB15520SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
155,AGB15512BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
156,AGB15516BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
157,AGB15520BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
158,AGB15512SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
159,AGB15516SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
160,AGB15520SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
161,543140016,U S Lumber,TREX®,1.0,False,Clean,1.0
162,543140020,U S Lumber,TREX®,1.0,False,Clean,1.0
163,543142016,U S Lumber,TREX®,1.0,False,Clean,1.0
164,543142020,U S Lumber,TREX®,1.0,False,Clean,1.0
165,543144016,U S Lumber,TREX®,1.0,False,Clean,1.0
166,543144020,U S Lumber,TREX®,1.0,False,Clean,1.0
167,543143016,U S Lumber,TREX®,1.0,False,Clean,1.0
168,543143020,U S Lumber,TREX®,1.0,False,Clean,1.0
169,543141016,U S Lumber,TREX®,1.0,False,Clean,1.0
170,543141020,U S Lumber,TREX®,1.0,False,Clean,1.0
171,543140412,U S Lumber,TREX®,1.0,False,Clean,1.0
172,543140416,U S Lumber,TREX®,1.0,False,Clean,1.0
173,543140420,U S Lumber,TREX®,1.0,False,Clean,1.0
